byte offset: 0
first index: 0
index count: 546
topology: trianglelist
format: DXGI_FORMAT_R16_UINT

0 1 2
0 2 3
4 5 6
4 6 7
8 9 10
11 12 13
14 15 16
14 16 17
18 19 20
18 20 21
22 23 24
22 24 25
26 27 28
26 28 29
30 31 32
30 32 17
2 33 3
4 7 1
4 1 0
9 6 5
9 5 10
34 35 8
34 8 10
36 37 12
36 12 38
39 40 41
39 41 42
24 39 42
24 42 25
29 28 23
29 23 22
43 3 33
43 33 44
45 46 27
45 27 26
31 47 48
31 48 32
49 50 51
49 51 52
53 54 55
53 55 56
57 58 59
60 61 62
63 64 65
63 65 66
67 68 69
67 69 70
71 72 73
71 73 74
75 76 77
75 77 78
52 79 49
53 51 50
53 50 54
56 55 58
56 58 57
34 57 59
34 59 35
60 37 48
60 48 61
40 80 81
40 81 41
82 71 74
82 74 83
72 78 77
72 77 73
84 85 86
84 86 87
86 85 88
86 88 89
43 44 79
43 79 52
46 45 76
46 76 75
90 91 92
93 91 94
95 91 93
96 91 90
97 91 98
99 91 100
94 91 101
101 91 97
98 91 99
100 91 96
4 0 102
10 5 102
3 43 102
0 3 102
5 4 102
34 10 102
51 53 102
56 57 102
43 52 102
52 51 102
53 56 102
57 34 102
16 15 19
16 19 18
63 69 68
63 68 64
103 104 105
103 105 106
30 17 103
30 103 106
105 104 21
105 21 107
107 21 89
107 89 88
108 109 110
108 110 111
84 87 112
84 112 113
113 112 109
113 109 108
111 110 48
111 48 47
114 2 1
114 1 115
116 7 6
116 6 117
9 8 118
9 118 119
118 8 35
118 35 120
50 49 121
50 121 122
55 54 123
55 123 124
59 58 125
59 125 126
35 59 126
35 126 120
2 114 127
2 127 33
7 116 115
7 115 1
119 117 6
119 6 9
127 128 44
127 44 33
79 129 121
79 121 49
50 122 123
50 123 54
55 124 125
55 125 58
44 128 129
44 129 79
20 130 21
131 67 70
132 45 26
132 26 133
26 29 134
26 134 133
29 22 135
29 135 134
22 25 136
22 136 135
25 42 137
25 137 136
42 41 138
42 138 137
41 81 139
41 139 138
83 74 140
83 140 141
74 73 142
74 142 140
77 143 142
77 142 73
77 76 144
77 144 143
45 132 144
45 144 76
21 130 145
145 130 146
131 70 147
131 147 146
11 13 17
17 13 14
62 66 65
62 61 66
